"","heart","sleep","step","heart_caregiver","sleep_caregiver","step_caregiver"
"8148",0.480184748177495,-0.960899089820195,-0.0739275753014326,0.775602970629964,0.66315127369579,0.201978153424792
"9148",-0.087415734819068,-0.921270227280755,0.0650022727958507,-0.295644926790607,-0.00490220483152007,0.221825522247028
"1082",0.286488382121389,-0.314017759951485,0.14261455909759,0.138566026634337,-0.582895197478307,-0.479175336174275
"1135",0.104831438292288,1.15051283619149,0.39681377155356,0.60676955657355,-1.07117644588442,-0.123990381911333
"1235",0.946995083589928,0.12042587556485,-0.220168593521132,-0.345988790831038,0.178673677199231,0.56016844620219
"1335",-0.415868949955231,0.465020044451464,-0.181042512252977,0.259761486902426,0.395922400516309,0.310607439803011
"1435",-0.459769246661187,-0.286258903955026,-0.165892372215763,-0.152851154264685,-0.447626058806973,0.47851830144547
"1535",0.0729625048670829,-0.143982138534232,0.387121229973836,0.397643551580898,-1.32473356888491,0.115157758650785
"1635",0.323253234377502,-0.821525021691797,0.288674830683638,0.0329793239783512,0.320322960490505,0.245891065479406
"1735",0.580110025230165,-0.0382963241686608,0.137997673346005,0.258187175592103,0.880796696682815,-0.857370456645455
"1835",-0.0223866002817181,0.818853468238121,-0.246956551040934,0.258025877306854,2.15046110023754,-1.05727102613069
"1935",0.147982220969068,0.059492652561877,0.268485962967419,0.301066092637999,-0.296538888843378,-0.331257674696907
"2035",0.0868314139655246,-0.348717881373501,0.707923958162631,0.706219517056846,-0.131235098060903,0.690919617147471
"2135",-0.251969389602538,-0.00465196294514206,-0.269680714913171,-0.335322151292796,-0.528604538155935,0.340657608265874
"2235",-0.327422508291456,0.933231280327201,-0.11741049918231,-0.0790341964190371,0.216894233052711,-0.149304688832616
"2335",-0.0901065741820304,1.03942220394232,0.106560812760998,-0.0498833995740763,-2.08339268564202,0.158071806751195
"2435",-0.0176959729568142,-0.598974298055407,-0.0463764123178407,-0.158951869860477,-0.105099881684877,-0.369222832529373
"2535",0.221728057275846,-0.069239478625741,0.135029193693944,0.27974606544678,-1.46778447028405,-0.156236374749734
"2635",-0.29345032582016,0.99781132800201,-0.309148821125141,0.0811111065074995,0.928434888754259,0.425695907611318
"2735",-0.00873372883465795,-0.0278644862061655,-0.0388823326066314,0.31857285674096,0.604492272661144,-0.0152466715990396
"2835",0.303074397666443,-0.0695267988021488,0.00312791310606153,-0.447070877429889,0.500430368815953,0.368530530115522
"2935",0.032670630910261,0.473564668220478,-0.227288414593319,0.559902987745508,0.507119644574109,-0.0954792799406643
