"","heart","sleep","step","heart_caregiver","sleep_caregiver","step_caregiver"
"8106",0.642023884848118,-0.18624442613466,-0.296153105403981,-0.362492791782196,0.22752806738056,0.100012435207754
"9106",-0.393119857309092,0.544254050473213,0.180772288416448,-0.165087738345026,-0.72003419757884,-0.00445160022698432
"1069",0.505023085272665,-0.377236991533479,-0.148674518357903,-0.268618783678685,1.11368840230569,-0.162879718622016
"1122",0.0718143816913803,-0.042660109786565,-0.192533758080257,0.508089804692954,0.238963216931424,0.0141322745523818
"1222",0.38095532453702,-0.476272219306444,-0.183927671910813,0.0291217204308187,-0.339355173084903,0.00778281542740078
"1322",-0.062716213244198,-0.663173714320288,-0.0961861534065444,0.0149289111325825,0.279226061913086,0.100199757722918
"1422",0.292389513321751,0.318243407233726,0.156086792080314,-0.176576347864972,-0.406719344348764,-0.00856572902458347
"1522",0.184277854314516,0.00200665408489187,0.124743592241172,0.887824663940752,0.0980733648387129,1.07371351385059
"1622",-0.405446935239002,-0.054720342266945,0.306858215778043,0.60184138338,-0.899550943937638,0.34130635226471
"1722",-0.137573452215722,-0.643519359726117,0.263871628617669,-0.207441528029907,0.0207500986742944,0.00975225186040174
"1822",0.138216901910775,0.665013046966455,-0.19097517325164,0.0674497178378561,0.819550919214991,0.646976511660588
"1922",-0.106067036110947,0.445015258804983,-0.108071287502216,-0.243859632928734,0.507405053851394,-0.258690674775554
"2022",-0.608556877253178,0.449809949483586,-0.276568704439308,-0.249316874261835,0.0048060715602531,-0.506159908003262
"2122",0.0791824340333171,0.142649915078201,-0.473933708602687,0.446152227629465,-2.52121501177423,-0.445339464956457
"2222",0.250472781656863,-0.352529540669592,0.0232430373908141,0.416269350701012,-0.0460000453837132,0.687612676041985
"2322",0.294386649578475,0.411779369087304,0.678282403054537,0.0568299260973567,-0.357081114699571,0.344881339422294
"2422",-0.0111725137749198,0.200580216468063,-0.107961380213204,-0.709261684901356,-0.0962361084361098,-0.719042558926933
"2522",-0.018974065372394,0.284039060772355,-0.095956039344149,-0.218401088631741,0.0587101933887675,0.117229986922224
"2622",-0.0300743051181675,0.00767240729342588,-0.201209030612887,-0.260015508921897,-0.0869917773367667,0.134404564581471
"2722",0.0830857145571753,0.634875201722449,-0.155016593869917,0.476730872745107,1.39949924942308,0.0262525411752524
"2822",-0.300016073543209,-0.257800057792273,0.230300169956519,0.0924089639082093,-0.312582748656745,-0.0141488544277676
"2922",0.208770684602791,0.112619594751925,0.726116982804341,-0.0476948196496154,0.244668461050861,0.0730948507349319
"3022",0.110054134890914,0.227578089921327,-0.556172753455436,-0.246381114285559,-0.224158709932382,-0.00377644779383396
"3122",0.0892215321464127,-0.334149540268903,0.00615553033490254,0.211828363516714,-0.616877877402912,0.286516475232127
"3222",0.0671748058810315,0.0891415643188725,-0.154016698039942,-0.266920462904922,0.205400600946583,-0.155798682708208
"3322",0.176864992006722,-0.0193455163096794,0.0146288871797283,-0.584271342524068,-0.358226140985982,0.314939850798518
"3422",0.0267363478199467,0.493858212092892,0.0234432549818345,-0.199388253635404,-0.0389470297995864,0.163527256382806
"3522",0.25087950035091,0.183083183803186,-0.00429263056930851,0.100154973969105,0.174881177152349,0.204305369316622
"3622",0.696464211284751,-1.57186640835268,-0.478377430079446,-0.325477062612272,-0.813287776076951,0.1463579694714
"3722",-0.330250156260568,0.260514635617657,-0.17581803250477,-0.76417822593735,0.71897507677215,-0.600812667262847
"3822",0.0127012935503166,0.0601295378153599,-0.379087387566556,-0.266542738236773,-0.350295181267829,0.0253069338212163
"3922",0.0504176537481023,-0.016325115737302,-0.100235928511905,0.118082196056323,-0.663152009111922,0.33512522611104
"4022",0.264277038116752,-0.461466861412367,0.245921850853361,-0.277335667443304,-0.0776493144973501,0.0477587064738146
"4122",0.20727924089997,0.398732165442386,-0.311939153903486,-0.119904144728837,0.984493149374534,0.0833450490979958
"4222",0.160523147155798,-1.47326141000826,0.00845452695409343,0.108091047158637,0.799407041732107,0.621418335598478
"4322",0.214526561315318,0.224830977038091,0.269307603071159,0.271914516378441,0.796720001096382,0.445903421801153
"4422",0.151232810242476,-0.136930990611963,-0.255272125692752,0.180927718776646,-0.616367135949165,0.219122988455345
"4522",0.231748205263292,-0.446553861388764,0.206186049362453,-0.261703032111373,-0.770781778525572,-0.0913770855263505
"4622",-0.0179495588874974,0.0210002219680557,-0.172330950883371,0.0412389707436438,0.104273567817521,-0.135627900863813
"4722",-0.120712892207627,0.0855185232859492,0.319322888722045,-0.278490619656272,0.110527322563118,0.0534567510845022
"4822",0.243308793718864,-0.213254128382479,0.207566816301726,-0.111922455455706,-0.439963784212399,-0.173599941924249
"4922",-0.242948126581263,0.0198830602545867,-0.23996334932914,-0.49944507743048,0.422926450537449,-0.150090065632934
"5022",0.0785937364168195,-0.130615191296077,-0.0280086784595514,-0.51304846312231,-0.595896171474563,-0.270276859671838
"5122",0.300005477963919,-0.151329862342551,0.04315871456765,0.662522402919425,0.0664119292092993,0.0628577216630426
"5222",-0.166459314775977,0.4066763819996,0.0184012299402216,-0.442825229872043,0.53627235157016,-0.185008757809286
"5322",0.271263413646672,0.566201310551813,0.992716743786685,-0.154311296106936,0.256511647450033,0.155822532697732
"5422",-0.0281264156822276,-0.382553770944724,0.479900106477704,0.0628836404676589,0.174053245394801,0.42811073500693
"5522",0.907339493433299,-2.02777953576996,-0.0173249433765463,0.412961743323434,-0.599132648570291,0.0870750401770286
"5622",-0.52276133735947,0.177920410878961,-0.118877601493949,-0.790004769791595,-0.220304803205454,-0.400255442761036
"5722",-0.0501785582742533,-0.0447736187494778,0.835643588696905,0.128750940533394,-0.0543455403853504,-0.150526022348612
"5822",-0.0472465148238576,0.43165247379244,-0.333105700934122,0.364147082354066,0.0424782179880046,0.301870782808431
"5922",-0.111095615281953,0.225962958518663,0.787459830049398,-0.245313487012987,-0.730356138015564,-0.196833313883166
"6022",0.04390282079073,-0.00467522719204498,0.458089241208155,0.368730860452886,-0.436009583110198,-0.248548253044566
"6122",-0.0298119124899445,0.879600356798739,-0.0691619082247613,0.55762206857347,0.274976700983865,-0.102269151331525
"6222",-0.386046397909716,-0.160858617725569,-0.491058610397769,-0.0681148808215744,0.202933637788245,-0.056489825779488
"6322",-0.205459762880781,-0.15300368843626,-0.256216863009447,0.287177126158477,-0.188316234613816,0.196705864675376
"6422",-0.410478324705743,0.0388534444541336,-0.309160271154275,-0.308245546607766,0.0207274607475186,-0.493449462563547
"6522",-0.189856381444796,-0.0634334055253939,0.24304847670463,0.160000010237503,-0.135064437850637,0.141635773639756
"6622",-0.15316108443698,-0.00167081907801157,-0.0148697974751624,-0.054462302194197,0.157081417575881,-0.552099359228492
"6722",-0.189173079710432,0.82305478904705,-0.188012525499629,-0.284071497575622,1.24034554778909,-0.119882679821689
"6822",-0.466305475289492,0.226365914269681,-0.502657325491994,0.0730672147651854,0.223334770969427,-0.456501221909231
"6922",-0.613596178375702,0.00251799732922289,-0.214756235633643,-0.266368209392146,0.804081616639913,-0.150683755131399
"7022",-0.121523002283667,-0.408696587244647,0.383491969500487,-0.276601575468961,0.729491737292333,0.281004144039404
"7122",-0.0846686285494366,-0.551712221534503,-0.0109489890498654,0.273091877921671,-0.66729962730493,-0.389780185049146
"7222",-0.118981971568066,-0.0167235010901921,-0.109784608338762,-0.488280853611696,0.449353869073993,0.369821442295554
"7322",0.112055799404765,0.623220560553464,0.328773978963377,0.175371398355382,0.255232290934032,-0.370710146266085
"7422",-0.231800886056385,-0.100988140112238,0.344257157800847,-0.348567371335436,-0.268619443564073,-0.00880237285631902
"7522",-0.0944941649937653,0.0932257365894816,-0.0329241375854453,-0.19670484763194,0.247591669432616,-0.431892196311846
"7622",0.246617127065959,-0.0727281755517175,0.368483865995357,0.840380796434281,0.556436913561049,0.120602062100842
"7722",-0.357338866316162,-1.75031439431751,-0.402266484136053,-0.631463619136315,0.279372890510517,-0.616700044435673
"7822",0.0878760689644346,-0.116289168592738,-0.185881078748304,-0.0238339235980248,0.0191850897925394,-0.184142069379948
"7922",-0.23514670850632,-0.276502400272329,-0.214738598853854,-0.16020573055015,-0.0923826288803168,0.0791967558825398
